-3.70,0.39641,0.59638,0.66469
-3.40,0.38622,0.52505,0.73558
-3.10,0.42697,0.53524,0.79771
-2.80,0.44734,0.54543,0.82017
-2.50,0.43715,0.55562,0.78679
-2.20,0.39641,0.55562,0.71345
-1.90,0.35566,0.55562,0.64011
-1.60,0.35566,0.55562,0.64011
-1.30,0.36584,0.55562,0.65844
-1.00,0.35566,0.55562,0.64011
-0.70,0.32509,0.53524,0.60738
-0.40,0.31491,0.52505,0.59976
-0.10,0.30472,0.52505,0.58036
0.20,0.27416,0.51486,0.53249
0.50,0.26397,0.47410,0.55677
0.80,0.27416,0.43334,0.63265
1.10,0.30472,0.43334,0.70318
1.40,0.35566,0.46391,0.76664
1.70,0.41678,0.49448,0.84286
2.00,0.44734,0.53524,0.83578
2.30,0.45753,0.55562,0.82346
2.60,0.45753,0.55562,0.82346
2.90,0.44734,0.55562,0.80513
3.20,0.42697,0.55562,0.76846
3.50,0.41678,0.55562,0.75012
3.80,0.41678,0.56581,0.73661
4.10,0.41678,0.56581,0.73661
4.40,0.40659,0.55562,0.73178
4.70,0.40659,0.56581,0.71861
5.00,0.40659,0.55562,0.73178
5.30,0.40659,0.56581,0.71861
5.60,0.39641,0.55562,0.71345
5.90,0.39641,0.55562,0.71345
6.20,0.40659,0.55562,0.73178
