900.0000	0.0386039
899.5000	0.0386577
899.0000	0.0386852
898.5000	0.0387626
898.0000	0.0387713
897.5000	0.0388228
897.0000	0.0388577
896.5000	0.0388495
896.0000	0.038865
895.5000	0.0389076
895.0000	0.0389726
894.5000	0.0390262
894.0000	0.039052
893.5000	0.0390617
893.0000	0.0391152
892.5000	0.039068
892.0000	0.0391291
891.5000	0.039115
891.0000	0.0391512
890.5000	0.0392043
890.0000	0.0392402
889.5000	0.0392758
889.0000	0.0392865
888.5000	0.0393208
888.0000	0.0393476
887.5000	0.0393795
887.0000	0.0394172
886.5000	0.0394013
886.0000	0.0394292
885.5000	0.0394948
885.0000	0.0395011
884.5000	0.0394701
884.0000	0.0394903
883.5000	0.039562
883.0000	0.0396233
882.5000	0.0396629
882.0000	0.0396863
881.5000	0.0397266
881.0000	0.0397493
880.5000	0.0397905
880.0000	0.0398074
879.5000	0.0397918
879.0000	0.0397645
878.5000	0.0398097
878.0000	0.0398589
877.5000	0.0399515
877.0000	0.0399499
876.5000	0.0400288
876.0000	0.0400557
875.5000	0.0400892
875.0000	0.0401574
874.5000	0.0401717
874.0000	0.0402139
873.5000	0.040246
873.0000	0.0402611
872.5000	0.0403618
872.0000	0.0403511
871.5000	0.0403732
871.0000	0.0403782
870.5000	0.0404101
870.0000	0.0404476
869.5000	0.0404083
869.0000	0.0404459
868.5000	0.0404668
868.0000	0.0405121
867.5000	0.0405884
867.0000	0.0406948
866.5000	0.0408183
866.0000	0.0408324
865.5000	0.0408313
865.0000	0.0408107
864.5000	0.0408191
864.0000	0.040864
863.5000	0.0408686
863.0000	0.0409008
862.5000	0.0409951
862.0000	0.041041
861.5000	0.0411289
861.0000	0.0411667
860.5000	0.0412418
860.0000	0.0412103
859.5000	0.0412446
859.0000	0.0412583
858.5000	0.0413165
858.0000	0.0414022
857.5000	0.0414406
857.0000	0.0414193
856.5000	0.0414392
856.0000	0.0414417
855.5000	0.0415298
855.0000	0.0415407
854.5000	0.0415951
854.0000	0.041682
853.5000	0.0416804
853.0000	0.0416841
852.5000	0.0417385
852.0000	0.0417614
851.5000	0.041834
851.0000	0.041887
850.5000	0.0419564
850.0000	0.0433907
849.5000	0.0434718
849.0000	0.0435159
848.5000	0.0435752
848.0000	0.043622
847.5000	0.0436728
847.0000	0.0436701
846.5000	0.0437457
846.0000	0.043697
845.5000	0.0437464
845.0000	0.0437594
844.5000	0.0437943
844.0000	0.0438121
843.5000	0.0439038
843.0000	0.0439684
842.5000	0.044148
842.0000	0.0442124
841.5000	0.0442584
841.0000	0.0442779
840.5000	0.0442357
840.0000	0.0442092
839.5000	0.0442239
839.0000	0.0442472
838.5000	0.0443082
838.0000	0.0443
837.5000	0.0443478
837.0000	0.0443531
836.5000	0.0444663
836.0000	0.04452
835.5000	0.0445285
835.0000	0.0445351
834.5000	0.0445035
834.0000	0.0444316
833.5000	0.0444933
833.0000	0.0446152
832.5000	0.0446563
832.0000	0.0446816
831.5000	0.0447363
831.0000	0.044802
830.5000	0.0448495
830.0000	0.0449132
829.5000	0.0449644
829.0000	0.0449996
828.5000	0.045018
828.0000	0.0451345
827.5000	0.045145
827.0000	0.0452519
826.5000	0.0451617
826.0000	0.0451885
825.5000	0.0452046
825.0000	0.0452573
824.5000	0.0453249
824.0000	0.0453095
823.5000	0.0454311
823.0000	0.0454853
822.5000	0.0455285
822.0000	0.0455235
821.5000	0.0456191
821.0000	0.0457771
820.5000	0.0457884
820.0000	0.0457426
819.5000	0.0457314
819.0000	0.0458013
818.5000	0.045861
818.0000	0.0458603
817.5000	0.045963
817.0000	0.045991
816.5000	0.046051
816.0000	0.0460225
815.5000	0.0460472
815.0000	0.0461184
814.5000	0.0461584
814.0000	0.0461667
813.5000	0.0461762
813.0000	0.0462431
812.5000	0.0462409
812.0000	0.0462979
811.5000	0.0463532
811.0000	0.0464742
810.5000	0.0465495
810.0000	0.0466702
809.5000	0.0466832
809.0000	0.046651
808.5000	0.04676
808.0000	0.0468065
807.5000	0.0469501
807.0000	0.0469727
806.5000	0.0470251
806.0000	0.0470591
805.5000	0.0470904
805.0000	0.0471585
804.5000	0.047184
804.0000	0.0472412
803.5000	0.0473373
803.0000	0.0473532
802.5000	0.0474178
802.0000	0.0474632
801.5000	0.0475211
801.0000	0.0476196
800.5000	0.0476621
800.0000	0.0477218
799.5000	0.0477195
799.0000	0.0477598
798.5000	0.0478608
798.0000	0.0479658
797.5000	0.0480533
797.0000	0.0481003
796.5000	0.048148
796.0000	0.0481823
795.5000	0.0482541
795.0000	0.0482693
794.5000	0.0483896
794.0000	0.0484308
793.5000	0.0485234
793.0000	0.0485478
792.5000	0.0486309
792.0000	0.0486896
791.5000	0.0487585
791.0000	0.0487696
790.5000	0.0487856
790.0000	0.048801
789.5000	0.0487848
789.0000	0.0488538
788.5000	0.0489346
788.0000	0.0490072
787.5000	0.0490823
787.0000	0.0490783
786.5000	0.0491361
786.0000	0.0492273
785.5000	0.0492838
785.0000	0.0493519
784.5000	0.0494063
784.0000	0.0494339
783.5000	0.0495054
783.0000	0.0495838
782.5000	0.0496416
782.0000	0.049729
781.5000	0.0497078
781.0000	0.0497663
780.5000	0.0497872
780.0000	0.0498586
779.5000	0.0499337
779.0000	0.0499603
778.5000	0.0500222
778.0000	0.0500669
777.5000	0.0501491
777.0000	0.050222
776.5000	0.050288
776.0000	0.0503344
775.5000	0.0504008
775.0000	0.0504587
774.5000	0.050536
774.0000	0.0506283
773.5000	0.0506871
773.0000	0.0507257
772.5000	0.0507653
772.0000	0.0508526
