-9.70,0.52884,0.54543,0.96959
-9.40,0.52884,0.55562,0.95181
-9.10,0.53903,0.55562,0.97014
-8.80,0.53903,0.56581,0.95267
-8.50,0.54922,0.55562,0.98848
-8.20,0.54922,0.55562,0.98848
-7.90,0.53903,0.56581,0.95267
-7.60,0.54922,0.56581,0.97068
-7.30,0.54922,0.56581,0.97068
-7.00,0.53903,0.56581,0.95267
-6.70,0.54922,0.56581,0.97068
-6.40,0.53903,0.56581,0.95267
-6.10,0.54922,0.56581,0.97068
-5.80,0.53903,0.55562,0.97014
-5.50,0.52884,0.56581,0.93467
-5.20,0.52884,0.55562,0.95181
-4.90,0.51865,0.56581,0.91666
-4.60,0.51865,0.55562,0.93347
-4.30,0.49828,0.54543,0.91356
-4.00,0.48809,0.54543,0.89488
-3.70,0.47790,0.53524,0.89288
-3.40,0.47790,0.52505,0.91021
-3.10,0.46772,0.51486,0.90844
-2.80,0.48809,0.50467,0.96715
-2.50,0.50847,0.50467,1.00752
-2.20,0.52884,0.52505,1.00722
-1.90,0.53903,0.53524,1.00708
-1.60,0.55940,0.54543,1.02562
-1.30,0.55940,0.55562,1.00682
-1.00,0.55940,0.55562,1.00682
-0.70,0.56959,0.55562,1.02515
-0.40,0.55940,0.55562,1.00682
-0.10,0.55940,0.55562,1.00682
0.20,0.54922,0.55562,0.98848
0.50,0.54922,0.55562,0.98848
0.80,0.54922,0.55562,0.98848
1.10,0.54922,0.56581,0.97068
1.40,0.54922,0.55562,0.98848
1.70,0.54922,0.55562,0.98848
2.00,0.54922,0.56581,0.97068
2.30,0.54922,0.55562,0.98848
2.60,0.53903,0.55562,0.97014
2.90,0.54922,0.55562,0.98848
3.20,0.53903,0.56581,0.95267
